id	word	phonetic	definition	example	translation	source
1	a	[eɪ]	n. 字母A；第一流的；学业成绩达最高标准的评价符号 / abbr. [物]安（ampere）	The word apple starts with a.	apple 这个单词以字母 a 开头。	Anki 高频单词6262
2	abandon	[ə'bændən]	n. 放任；狂热 / vt. 遗弃；放弃	This house was abandoned by its owners.	这所房子被它的主人遗弃了。	Anki 高频单词6262
3	abbreviation	[əˌbri:vi'eɪʃn]	n. 缩写；缩写词	"""CRM"" is an abbreviation of ""Customer Relationship Management."""	“CRM”是“客户关系管理”的缩写。	Anki 高频单词6262
4	ability	[ə'bɪləti]	n. 能力，能耐；才能	Annie has an ability to summon that magic bear.	（英雄联盟里面的）安妮有召唤魔法熊的能力。	Anki 高频单词6262
5	able	[ˈeɪb(ə)l ]	adj. 能；[经管] 有能力的；能干的 / n. (Able)人名；(伊朗)阿布勒；(英)埃布尔	Her legs don't work, but she's still able to get around.	她的腿有残疾，但是她还是能四处走动。	Anki 高频单词6262
6	abnormal	[æbˈnɒrm(ə)l]	adj. 反常的，不规则的；变态的	It's very abnormal for a sheep to be pink!	羊是粉红色的太反常了！	Anki 高频单词6262
7	aboard	[ə'bɔ:d]	prep. 在…上 / adv. 在飞机上；[船] 在船上；在火车上	We stayed aboard the ship for several hours. It was lovely.	我们在船上待了好几个小时，这里真爽。	Anki 高频单词6262
8	abolish	[əˈbɑːlɪʃ ]	vt. 废除，废止；取消，革除	This president abolished slavery in America.	这位总统废除了美国奴隶制。	Anki 高频单词6262
9	abortion	[ə'bɔ:ʃn]	n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折	She wants an abortion because she doesn’t want the baby.	她想堕胎因为她不想要宝宝。	Anki 高频单词6262
10	about	[ə'baʊt]	prep. 关于；大约 / n. 大致；粗枝大叶；不拘小节的人 / adj. 在附近的；四处走动的；在起作用的 / adv. 大约；周围；到处 / n. (About)人名；(法)阿布	I think about her all day.	我整天都在想她。	Anki 高频单词6262
11	above	[ə'bʌv]	prep. 超过；在……上面；在……之上 / n. 上文 / adj. 上文的 / adv. 在上面；在上文	He is flying above the cloud!	他飞上了云层！	Anki 高频单词6262
12	abroad	[ə'brɔ:d]	n. 海外；异国 / adj. 往国外的 / adv. 在国外；到海外	This is a picture of us when we traveled abroad.	这张照片是我们俩在国外旅行时拍摄的。	Anki 高频单词6262
13	absence	['æbsəns]	n. 没有；缺乏；缺席；不注意	What is the reason for everyone’s absence?	为什么今天所有人都缺席？	Anki 高频单词6262
14	absent	[ˈæbsənt]	adj. 缺席的；缺少的；心不在焉的；茫然的 / vt. 使缺席	What a surprise! The merit student is absent for school!	震惊！学霸今天没来学校！	Anki 高频单词6262
15	absolute	[.æbsə'lut]	n. 绝对；绝对事物 / adj. 绝对的；完全的；专制的	Black is the absolute opposite of white.	黑色与白色是完全相反的颜色。	Anki 高频单词6262
16	absolutely	['æbsəlu:tli]	adv. 绝对地；完全地	The ad said the product was absolutely guaranteed to work.	广告说这个产品是绝对保证有效的。	Anki 高频单词6262
17	absorb	[əb'sɔ:b]	vt. 吸收；吸引；承受；理解；使…全神贯注	Sponges can absorb a lot of water.	海绵可以吸收很多水分。	Anki 高频单词6262
